conversation_id,tweet_id,created_at,text,clean_text,review_bucket,true_intent,complexity,requires_hitl,hitl_reason,human_notes
367474,367475,Wed Oct 11 00:18:27 +0000 2017,@AmazonHelp The product finally came in today. Had already asked for a refund which can't be cancelled. Currently double charged waiting for refund.,The product finally came in today. Had already asked for a refund which can't be cancelled. Currently double charged waiting for refund.,BILLING,BILLING,High Stakes Escalation,True,Duplicate charge dispute requiring internal financial ledger verification.,Verified human annotation for AmazonHelp customer tweet.
958835,958834,Sun Oct 22 01:50:08 +0000 2017,"@AmazonHelp At this point,  I want a total #refund of @117795 $100.00. Unless #you can work with #me.","At this point, I want a total #refund of $100.00. Unless #you can work with #me.",BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
45535,45533,Wed Nov 01 16:32:46 +0000 2017,@AmazonHelp Thanks! I need to use the item tomorrow so I can't really return the rest of it. Is there any way to get a partial refund?,Thanks! I need to use the item tomorrow so I can't really return the rest of it. Is there any way to get a partial refund?,BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
1955339,1955337,Wed Oct 18 17:24:25 +0000 2017,"@AmazonHelp I did not receive my order. I was on the phone with a woman named ""amber"" who clearly stated she ""refunded me""","I did not receive my order. I was on the phone with a woman named ""amber"" who clearly stated she ""refunded me""",BILLING,SHIPPING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Rule 1 Applied: Primary root cause is non-delivery/carrier issue.
2631439,2631440,Fri Nov 17 19:14:37 +0000 2017,@AmazonHelp I know nothing about what the charge is for and neither did they. Just said to call my bank and call back if I don’t get anywhere which is absolutely atrocious? Cause surely I’d have the same result. Can someone just sort this it’s bloody outrageous!,I know nothing about what the charge is for and neither did they. Just said to call my bank and call back if I don’t get anywhere which is absolutely atrocious? Cause surely I’d have the same result. Can someone just sort this it’s bloody outrageous!,BILLING,BILLING,High Stakes Escalation,True,Financial fraud/security dispute requiring account audit and security escalation.,Verified human annotation for AmazonHelp customer tweet.
1323276,1323276,Mon Oct 16 12:04:12 +0000 2017,"Ainda nas reclamações, não aguento mais todo mundo no meu feed lendo o novo do John Green e eu ficando de fora porque a Amazon não mandaaaaa","Ainda nas reclamações, não aguento mais todo mundo no meu feed lendo o novo do John Green e eu ficando de fora porque a Amazon não mandaaaaa",BILLING,SHIPPING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Rule 1 Applied: Primary root cause is non-delivery/carrier issue.
1524041,1524041,Fri Nov 03 21:06:07 +0000 2017,Since when @AmazonHelp Prime Now has a minimum of $35 per order? What the hell do I pay a monthly fee for then?,Since when Prime Now has a minimum of $35 per order? What the hell do I pay a monthly fee for then?,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
2474953,2474953,Wed Nov 15 13:03:51 +0000 2017,@115850 hey Its been 2 hours since i recharged on amazon pay and the amount isn’t reflecting yet and i need to order..whats the hiccup?,hey Its been 2 hours since i recharged on amazon pay and the amount isn’t reflecting yet and i need to order..whats the hiccup?,BILLING,BILLING,Routine,False,Routine inquiry resolvable via standard automated message or help documentation.,Verified human annotation for AmazonHelp customer tweet.
727891,727886,Wed Oct 11 13:11:24 +0000 2017,"@AmazonHelp wen I cld agn, customer care replied, de can't do anythng since amount refunded. Now to buy new phone, I've to shell more money.","wen I cld agn, customer care replied, de can't do anythng since amount refunded. Now to buy new phone, I've to shell more money.",BILLING,BILLING,Borderline / Ambiguous,True,Requires account lookup / PII verification via Direct Message to resolve customer order issue.,Verified human annotation for AmazonHelp customer tweet.
2612268,2612267,Tue Nov 21 16:36:37 +0000 2017,@AmazonHelp If you followed up I received late a day #I paid for next day Total failure on customer service and absolutely NO Follow UP #,If you followed up I received late a day #I paid for next day Total failure on customer service and absolutely NO Follow UP #,BILLING,BILLING,Borderline / Ambiguous,False,"Ambiguous customer inquiry, but resolvable via self-service portal (e.g. Your Orders).",Verified human annotation for AmazonHelp customer tweet.
